conditionId,question,market_category,n_trades,n_buy,n_sell,buy_yes_count,buy_no_count,sell_yes_count,sell_no_count,buy_yes_cost,buy_no_cost,buy_yes_avg_price,buy_no_avg_price,combined_buy_price,yes_net_position,no_net_position,total_cashflow,both_sides_buy,duration_sec,first_trade,last_trade
0x453907070556e6b00b72d6cfb10b6fd24494aad3b7f5187d2d4b14a55ca96e17,"Bitcoin Up or Down - February 12, 9PM ET",crypto,13,13,0,13,0,0,0,1437.78,0.0,0.521,,0.521,2759.42,0.0,-1437.78,False,894,1770948009,1770948903
0x467beb59ae402b3a7dd6a6758a4f00e8a3e05125a2f2a4a1c6e1f727ec01d499,"Bitcoin Up or Down - February 12, 9:05PM-9:10PM ET",crypto,17,12,5,4,8,1,4,92.74,390.37,0.5144,0.5759,1.0903,144.84,419.58,-362.82,True,204,1770948305,1770948509
0x46de09171efabc116de5cb944f014790526608535c6755e427e707e76dd6f0ea,"Bitcoin Up or Down - February 13, 3:20AM-3:25AM ET",crypto,8,7,1,5,2,0,1,215.68,117.16,0.6015,0.58,1.1815,358.54,101.0,-290.42,True,100,1770970807,1770970907
0x479e8d56aa08988c6f1b88d01160625ac342a08552145cd672efd33a61091f7e,"Bitcoin Up or Down - February 12, 10:30PM-10:45PM ET",crypto,86,57,29,28,29,10,19,1889.76,1572.64,0.6249,0.3855,1.0103,1707.01,1766.48,-2093.04,True,704,1770953407,1770954111
0x4923a55682907be7bbb276eaa038b4c5f731fbafa52376bdf7ac7b2d52e3e6b5,"Bitcoin Up or Down - February 12, 10:45PM-10:50PM ET",crypto,13,11,2,5,6,2,0,252.47,291.14,0.5084,0.5588,1.0672,294.57,521.06,-451.92,True,118,1770954307,1770954425
0x4ae24fa24bbf924eac47de7bd8c2ea593f3c09c660d4b60f0a464351d7b3400b,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",crypto,26,17,9,6,11,0,9,768.44,367.07,0.574,0.2229,0.7968,1338.85,-361.4,-583.87,True,660,1770970505,1770971165
0x4c5bd69e9ffaf81f3582cee416b41028894c0d566d6ff96f1fb98a431c8d60c2,"Bitcoin Up or Down - February 13, 12:55AM-1:00AM ET",crypto,9,9,0,1,8,0,0,2.15,494.76,0.43,0.639,1.069,5.0,774.25,-496.91,True,100,1770962107,1770962207
0x4da2b287d2acd0c7b4428fd6ec92b328b0600d4e245db7f3a4334cf232886be0,"Solana Up or Down - February 13, 2AM ET",crypto,29,29,0,14,15,0,0,266.18,424.96,0.6109,0.3956,1.0065,435.7,1074.32,-691.14,True,3008,1770966105,1770969113
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",crypto,26,19,7,5,14,4,3,222.05,550.53,0.4958,0.4882,0.984,206.19,915.72,-609.33,True,228,1770945905,1770946133
0x4e3ac7cd0a9830c2fd52be3e1e7e79f1466aa7207f95717ec98ccad33666fbe0,"Bitcoin Up or Down - February 13, 2AM ET",crypto,30,30,0,16,14,0,0,1903.64,1321.99,0.5689,0.4622,1.0312,3346.05,2859.92,-3225.62,True,2398,1770966025,1770968423
0x4fee2465b60318e23e6d2ad0ac0b0c347ee86866c989f09042b3071f941934ac,"Ethereum Up or Down - February 13, 1:30AM-1:45AM ET",crypto,53,51,2,23,28,2,0,380.67,1864.32,0.3256,0.6401,0.9657,1022.41,2912.65,-2210.76,True,704,1770964207,1770964911
0x506fffb328e7632a3847927619d7235d8b291fdb1e8b801bb68cf653a345c26e,"Ethereum Up or Down - February 13, 12:45AM-1:00AM ET",crypto,13,11,2,5,6,2,0,415.6,116.41,0.4932,0.5554,1.0485,798.68,209.62,-515.33,True,314,1770961505,1770961819
0x54322ca5cbc34b2c82521e1dfb32e96b80efc87ff793e3f86d2f78e1dc809394,"Bitcoin Up or Down - February 12, 8:30PM-8:45PM ET",crypto,14,12,2,12,0,0,2,1316.29,0.0,0.6215,,0.6215,2118.0,-386.0,-1169.61,False,110,1770946239,1770946349
0x554301a06e6201194af91cda3f9f528452550e629c33defda78ac48acae78157,"Bitcoin Up or Down - February 12, 10:10PM-10:15PM ET",crypto,11,10,1,8,2,1,0,296.7,98.64,0.5102,0.5443,1.0544,480.59,181.23,-350.13,True,230,1770952205,1770952435
0x56166e99349f6fc03bd0795b479571e4dd89ad7ba77219004db44241258b872d,"Solana Up or Down - February 12, 9PM ET",crypto,65,65,0,23,42,0,0,636.43,701.08,0.5735,0.3593,0.9328,1109.79,1950.97,-1337.51,True,3012,1770948043,1770951055
0x58bc5fde1b370e2474e3505910e35b109ffd17ac7256fc32b60c6d1ff47602f0,"Bitcoin Up or Down - February 12, 11:00PM-11:05PM ET",crypto,3,2,1,0,2,1,0,0.0,55.46,,0.5258,0.5258,-39.97,105.48,-43.47,False,194,1770955227,1770955421
0x591e7f839606e9611f90723f9055eaca52026665696c2fb1d458afa208c1f6a6,"Bitcoin Up or Down - February 12, 10PM ET",crypto,47,47,0,26,21,0,0,2002.58,1425.43,0.3823,0.4915,0.8738,5238.28,2900.39,-3428.02,True,3048,1770951609,1770954657
0x5a40a6cb1b928b0528d992d34a6022cae13fcf745de10dee4d2b7ea333d8e3d1,"Bitcoin Up or Down - February 13, 1:00AM-1:15AM ET",crypto,15,14,1,8,6,0,1,676.35,251.5,0.6333,0.3923,1.0256,1067.99,587.42,-904.25,True,322,1770962405,1770962727
0x5e1bd55e16408fc62950f04825f501845e4f493d56dc58074482d9c587615867,"Bitcoin Up or Down - February 13, 12:45AM-1:00AM ET",crypto,35,24,11,15,9,8,3,724.59,558.09,0.3702,0.5482,0.9184,645.53,526.05,-524.84,True,636,1770961509,1770962145
0x5f8c026842e508238a31f3eec92658af2c1ac75c4998f5005d4ba3bbac1e6c66,"Bitcoin Up or Down - February 13, 2:05AM-2:10AM ET",crypto,4,4,0,0,4,0,0,0.0,191.25,,0.6505,0.6505,0.0,294.0,-191.25,False,42,1770966359,1770966401
0x6191129cb10edf987b1bb53a835a50805053d649988bc9f5777e4a60f2205a19,"Bitcoin Up or Down - February 13, 3:40AM-3:45AM ET",crypto,7,7,0,6,1,0,0,259.87,20.04,0.5785,0.54,1.1185,449.23,37.12,-279.91,True,66,1770972005,1770972071
0x6641f2f608df819c1934868d1d29aa22ec4cbb29e0e0adfc5e3822b75f951921,"Bitcoin Up or Down - February 12, 11:10PM-11:15PM ET",crypto,13,4,9,0,4,9,0,0.0,161.03,,0.5032,0.5032,-700.51,320.0,93.59,False,232,1770955805,1770956037
0x66580f82f129832cd422e0c946727d36f94d0448b223d89cda184998a24d6a3c,"Bitcoin Up or Down - February 12, 11:25PM-11:30PM ET",crypto,17,15,2,9,6,0,2,172.37,306.46,0.2904,0.5217,0.8121,593.48,439.09,-412.53,True,204,1770956707,1770956911
0x66c41f4fc12bf239e0a5209c035dda8ef0ddddb07e0d88f74f97514afb985ad3,"Ethereum Up or Down - February 13, 12:15AM-12:30AM ET",crypto,34,26,8,6,20,0,8,100.01,508.35,0.6487,0.3352,0.984,154.16,817.0,-304.82,True,664,1770959709,1770960373
0x6709f67f5b3752a278381975c6bdfe000b2aa65b7abf6e622cc72490419cce28,"Ethereum Up or Down - February 13, 1:00AM-1:15AM ET",crypto,15,15,0,6,9,0,0,351.17,488.35,0.5923,0.4565,1.0488,592.85,1069.84,-839.52,True,304,1770962405,1770962709
0x6896f7922ba555c8a7d2e2750e587138ecb544f4eb114ef32fbf7b3bf46cc71d,"Bitcoin Up or Down - February 13, 1:10AM-1:15AM ET",crypto,19,17,2,6,11,2,0,301.11,355.91,0.6467,0.5045,1.1512,303.91,705.49,-590.33,True,208,1770963005,1770963213
0x69b898739b4aa5cab4593f3e29bfabdb03779fa3320c578e3cf3c4ce70c9c2d1,"Bitcoin Up or Down - February 12, 11:40PM-11:45PM ET",crypto,7,7,0,3,4,0,0,84.7,143.24,0.3995,0.5526,0.9521,212.0,259.21,-227.94,True,152,1770957613,1770957765
0x69dbfb5b506bbc7a513c1d564e0f736ec1217c41359e26e2d6b138121d79b2a7,"Solana Up or Down - February 12, 10PM ET",crypto,53,53,0,27,26,0,0,764.49,502.12,0.3909,0.3948,0.7857,1955.89,1271.81,-1266.6,True,3184,1770951609,1770954793
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",crypto,8,8,0,5,3,0,0,71.11,34.81,0.8087,0.1337,0.9424,87.93,260.43,-105.92,True,1170,1770945575,1770946745
0x6e02ceb12ab1e02e384459c63fbf78a1aab471956e936b168a0d842e797ef927,"Bitcoin Up or Down - February 13, 1:00AM-1:05AM ET",crypto,30,27,3,14,13,2,1,616.35,388.09,0.5185,0.4502,0.9687,1003.27,761.0,-882.63,True,118,1770962405,1770962523
0x6ee1fe6b274744cdc8e7394dbf93091504df010010bcbc7e646b3ad98d0ae987,"Bitcoin Up or Down - February 12, 11:20PM-11:25PM ET",crypto,9,7,2,0,7,2,0,0.0,485.34,,0.7256,0.7256,-10.1,668.86,-481.6,False,30,1770956417,1770956447
0x6f9a3ae61a94617d46be0e2bcb3e1e0ea133380bb933c6bbf545c51ffb6ffba1,"Bitcoin Up or Down - February 13, 1:15AM-1:30AM ET",crypto,41,30,11,15,15,8,3,1024.55,615.71,0.4566,0.5668,1.0235,1147.06,567.23,-994.61,True,604,1770963309,1770963913
0x74dcc2b5b15c58db39ee6a52ae61ba6f9064f7b15f384cf75abd61367708ee1d,"Ethereum Up or Down - February 13, 1:45AM-2:00AM ET",crypto,19,17,2,9,8,0,2,234.82,484.9,0.5098,0.4817,0.9916,460.57,982.36,-710.15,True,396,1770965109,1770965505
0x75419f59c419b98b5926881eb099c4aa55ca968cad5101db096e7176c44f2714,"Bitcoin Up or Down - February 12, 8:50PM-8:55PM ET",crypto,4,4,0,2,2,0,0,93.14,63.2,0.5132,0.5962,1.1094,181.48,106.0,-156.34,True,214,1770947407,1770947621
0x75e80c74c16c4c08982299a5be800fe7161a14ba70e3c3e51da8f551e17b46d2,"Bitcoin Up or Down - February 12, 10:55PM-11:00PM ET",crypto,12,12,0,4,8,0,0,32.18,452.05,0.2931,0.5595,0.8526,109.8,808.0,-484.23,True,26,1770954907,1770954933
0x75f9b757f208c208914190d6b196cbc0cae7a214caaab35f07b3c4d7cedbc626,"XRP Up or Down - February 13, 1AM ET",crypto,54,54,0,31,23,0,0,425.56,632.71,0.4333,0.6484,1.0817,982.07,975.81,-1058.28,True,3184,1770962461,1770965645
0x7727c6502b861a43ff4bcc87518d6672b04cd6b6dc1b0c699c77ff2ca53fbb1b,"Bitcoin Up or Down - February 13, 12:30AM-12:35AM ET",crypto,3,3,0,3,0,0,0,113.59,0.0,0.6164,,0.6164,184.28,0.0,-113.59,False,108,1770960617,1770960725
0x7904ec530e259201365d9c094b3000e891efa1b125e4219de53e502bc0c6bfa0,"Ethereum Up or Down - February 13, 2:15AM-2:30AM ET",crypto,16,16,0,7,9,0,0,278.43,424.37,0.4484,0.5989,1.0473,621.01,708.57,-702.8,True,692,1770966911,1770967603
0x7e30ddfba31f5b6dfbc344c34be27740bd61c56cc7802b71131a3d1ee178b9d2,"Bitcoin Up or Down - February 13, 12:20AM-12:25AM ET",crypto,9,9,0,6,3,0,0,260.76,112.19,0.6423,0.542,1.1843,405.97,207.0,-372.95,True,120,1770960005,1770960125
0x7f44767740d816c5ce81cd79b6a76c6b7138fdfc713fb8e4aaed810029dae194,"Ethereum Up or Down - February 12, 11:00PM-11:15PM ET",crypto,16,16,0,10,6,0,0,231.64,132.38,0.3839,0.537,0.9209,603.44,246.5,-364.02,True,690,1770955211,1770955901
0x7fce2da3f9ae66fef6785f0dd788b83ebdcd1a909bc29df50e2cfe4889d5e546,"Ethereum Up or Down - February 12, 8:45PM-9:00PM ET",crypto,35,34,1,14,20,1,0,540.22,306.94,0.6079,0.5124,1.1203,858.98,599.06,-833.81,True,570,1770947113,1770947683
0x80f517f253e045340a5abb619abe269cea76f164d4767b4f5cbe5ff02ea0f89f,"Bitcoin Up or Down - February 12, 9:50PM-9:55PM ET",crypto,8,8,0,7,1,0,0,252.75,1.01,0.6052,0.01,0.6152,417.64,101.0,-253.76,True,194,1770951007,1770951201
0x81045cb4766dc733fd38aaf541e2444afd23a49a90254b9fa7382812b7055fc4,"Bitcoin Up or Down - February 13, 2:00AM-2:15AM ET",crypto,49,41,8,18,23,0,8,2156.31,1069.43,0.6725,0.3686,1.0411,3206.33,2283.17,-3020.48,True,620,1770966019,1770966639
0x89c56afa2d5c82bb30a57563f37e4171de51d8c4121a9a06ad9ca0ffc6b4de78,"Ethereum Up or Down - February 13, 3:30AM-3:45AM ET",crypto,28,28,0,17,11,0,0,439.94,165.28,0.5414,0.2945,0.8359,812.55,561.3,-605.23,True,670,1770971429,1770972099
