conditionId,question,coin,window_type,first_trade_ts,bn_price,cl_price,spread_abs,spread_pct,spread_direction,direction_bias,bias_label,mom_1m_pct
0x0507338d275158305f42f52e9ab6a6e7095bab8f40d1ad82ec37520367e0884f,"Bitcoin Up or Down - February 12, 9:45PM-9:50PM ET",BTCUSDT,5min,1770950707,66531.745,66454.6955,77.0495,0.115809,BN>CL,-0.6746,Down偏重,0.0
0xc2e8a403d55434e6c8d1213af10652a52dcac6968f16ec7e34d7e6d65b12ba32,"Bitcoin Up or Down - February 12, 9:40PM-9:45PM ET",BTCUSDT,5min,1770950443,66531.745,66454.6955,77.0495,0.115809,BN>CL,-0.2652,Down偏重,0.0
0x8d2df65bd55135c16f772132dc4e01b6a7281d19ad6c7851ac244a02047d0b89,"Bitcoin Up or Down - February 12, 9:30PM-9:45PM ET",BTCUSDT,5min,1770949809,66549.175,66454.6955,94.4795,0.141969,BN>CL,0.3142,Up偏重,-0.0859
0x1c943cffbe2d08bd545f793e573ff204ba5b22e4ad2b93fec000756cc1e4033c,"Ethereum Up or Down - February 12, 9:30PM-9:45PM ET",ETHUSDT,5min,1770949819,1946.815,1945.2372,1.5778,0.081043,BN>CL,0.3215,Up偏重,-0.0169
0xac9a521dfc8233e78242695759d136824b1d451cb83eb6ff1790e49c00ed94f9,"Bitcoin Up or Down - February 12, 9:35PM-9:40PM ET",BTCUSDT,5min,1770950107,66531.745,66454.6955,77.0495,0.115809,BN>CL,-0.5523,Down偏重,0.0
0x096ed3f10259b3dd2fc1f15c404ff0ad5d3be959f96e2283a6f3b88ef1811876,"Bitcoin Up or Down - February 12, 9:30PM-9:35PM ET",BTCUSDT,5min,1770949809,66549.175,66454.6955,94.4795,0.141969,BN>CL,0.313,Up偏重,-0.0859
0xea5aa004d2907aacfffb62e601f160d5c1805f37f7565e3e9640b58cff70bb0c,"Bitcoin Up or Down - February 12, 9:15PM-9:30PM ET",BTCUSDT,5min,1770948907,66517.225,66481.72,35.505,0.053377,BN>CL,0.1086,Up偏重,0.0149
0xd74333eeb92831621ccf8a4bdc9550d93127fc831eb59918bfa7fd05d28ee65e,"Ethereum Up or Down - February 12, 9:15PM-9:30PM ET",ETHUSDT,5min,1770948907,1947.095,1944.776,2.319,0.119101,BN>CL,-0.2027,Down偏重,-0.0098
0xae905bcbc5bb47b49886bb22bbc064f740c5f3ada6578266ed1e7a471e52461d,"Bitcoin Up or Down - February 12, 9:25PM-9:30PM ET",BTCUSDT,5min,1770949507,66557.345,66454.6955,102.6495,0.154227,BN>CL,0.6736,Up偏重,0.1082
0xea317149ff4c675068a8fb0f9e340752da2c058e7cfe43bb7b1c0a761f9661da,"Bitcoin Up or Down - February 12, 9:20PM-9:25PM ET",BTCUSDT,5min,1770949247,66454.005,66454.6955,-0.6905,-0.001039,BN<CL,-0.7337,Down偏重,-0.0874
0xd51c528bc88144086179dfa9f44d75d46a8a7cbddd9a5a0360335735c1ea2086,"Bitcoin Up or Down - February 12, 9:15PM-9:20PM ET",BTCUSDT,5min,1770948905,66525.925,66481.72,44.205,0.066448,BN>CL,-1.0,Down偏重,0.0279
0x453907070556e6b00b72d6cfb10b6fd24494aad3b7f5187d2d4b14a55ca96e17,"Bitcoin Up or Down - February 12, 9PM ET",BTCUSDT,1hour,1770948009,66440.975,66481.72,-40.745,-0.061325,BN<CL,1.0,Up偏重,0.0
0x007d4b0cb9d1852c60546d5a2bf4771a54602335685f377f215194f223ccde4a,"Bitcoin Up or Down - February 12, 9:10PM-9:15PM ET",BTCUSDT,5min,1770948635,66533.515,66481.72,51.795,0.077848,BN>CL,-0.25,Down偏重,0.0552
0xfa75b0896310f9f9fdd48c01241a236e996453ffeebdb5f8d8938342a9be8f4a,"Bitcoin Up or Down - February 12, 9:00PM-9:15PM ET",BTCUSDT,5min,1770948007,66440.975,66481.72,-40.745,-0.061325,BN<CL,0.1658,Up偏重,0.0
0xc552665f6a692b1abfe999a974226c6d9df066774bdfc72957d0b67d41d218fd,"Ethereum Up or Down - February 12, 9:00PM-9:15PM ET",ETHUSDT,5min,1770948007,1947.565,1944.776,2.789,0.143204,BN>CL,0.3035,Up偏重,0.0
0x467beb59ae402b3a7dd6a6758a4f00e8a3e05125a2f2a4a1c6e1f727ec01d499,"Bitcoin Up or Down - February 12, 9:05PM-9:10PM ET",BTCUSDT,5min,1770948305,66472.995,66481.72,-8.725,-0.013126,BN<CL,-0.6161,Down偏重,0.0535
0xd49511dad85d1b592f80c4d8de3a010d3800a6f24ab3ca46d4af5ece3b5b0d59,"Bitcoin Up or Down - February 12, 9:00PM-9:05PM ET",BTCUSDT,5min,1770948005,66440.975,66481.72,-40.745,-0.061325,BN<CL,-0.1255,Down偏重,0.0
0xef516d6f1159cd32cb1d088c80e5e68f6d10921fca29f3699ef3ba74f51e4bd6,"Bitcoin Up or Down - February 12, 8:55PM-9:00PM ET",BTCUSDT,5min,1770947709,66440.975,66481.72,-40.745,-0.061325,BN<CL,-1.0,Down偏重,0.0
0x2bdc46200e7647595d2e8d85c80887d1a29f7dc0db52aa7da165c772a413fd3e,"Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET",BTCUSDT,5min,1770947113,66440.975,66274.644,166.331,0.250344,BN>CL,0.5178,Up偏重,0.0
0x7fce2da3f9ae66fef6785f0dd788b83ebdcd1a909bc29df50e2cfe4889d5e546,"Ethereum Up or Down - February 12, 8:45PM-9:00PM ET",ETHUSDT,5min,1770947113,1947.565,1940.3274,7.2376,0.371622,BN>CL,0.2754,Up偏重,0.0
0x75419f59c419b98b5926881eb099c4aa55ca968cad5101db096e7176c44f2714,"Bitcoin Up or Down - February 12, 8:50PM-8:55PM ET",BTCUSDT,5min,1770947407,66440.975,66274.644,166.331,0.250344,BN>CL,0.1915,Up偏重,0.0
0x021a507688edbab1e3a0a0bd287ae29517b321f7d95fc88fae6a2427bb0604f0,"Bitcoin Up or Down - February 12, 8:45PM-8:50PM ET",BTCUSDT,5min,1770947109,66440.975,66274.644,166.331,0.250344,BN>CL,0.931,Up偏重,0.0
0x9da508aaadbb5fcd3e573271a78d8f44305cbd8823542f260fc6a39373be990b,"Bitcoin Up or Down - February 12, 8:40PM-8:45PM ET",BTCUSDT,5min,1770946811,66440.975,66274.644,166.331,0.250344,BN>CL,0.9762,Up偏重,-0.0289
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",SOLUSDT,1hour,1770945575,78.545,78.5013,0.0437,0.055624,BN>CL,0.3427,Up偏重,-0.0382
0xefd17ef259c382a68886a469533885b38d93cf43c6105ee85fa05639aadcc192,"Bitcoin Up or Down - February 12, 8:35PM-8:40PM ET",BTCUSDT,5min,1770946507,66370.495,66089.95,280.545,0.422695,BN>CL,0.0131,均衡,0.0173
0x94a5afdfee0373af75edc7be11c35aac2cd8ab6e5904d207f400690221dfebe4,"Ethereum Up or Down - February 12, 8:30PM-8:45PM ET",ETHUSDT,5min,1770946209,1940.585,1937.6,2.985,0.15382,BN>CL,0.1189,Up偏重,-0.069
0x54322ca5cbc34b2c82521e1dfb32e96b80efc87ff793e3f86d2f78e1dc809394,"Bitcoin Up or Down - February 12, 8:30PM-8:45PM ET",BTCUSDT,5min,1770946239,66295.995,66089.95,206.045,0.310796,BN>CL,1.0,Up偏重,0.0837
0x28097b05aa1a30909e8c17ba5078f598b0b0d98158cf61c16eed1ea177537c2f,"Bitcoin Up or Down - February 12, 8:30PM-8:35PM ET",BTCUSDT,5min,1770946205,66260.945,66089.95,170.995,0.258063,BN>CL,0.7387,Up偏重,0.0694
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",BTCUSDT,5min,1770945905,66117.765,66060.8767,56.8883,0.086041,BN>CL,-0.4252,Down偏重,-0.0544
0xf1b8d60c2a5045cc0d043bd8c1b54348ba71883704fefcde160ba4c23eba0e9f,"Bitcoin Up or Down - February 12, 8:15PM-8:30PM ET",BTCUSDT,5min,1770945611,66262.675,66195.5745,67.1005,0.101264,BN>CL,-0.3729,Down偏重,-0.0085
0x399bf7e43a00c969e569e4ab51fb89586ad0eebaca310f3ad4e916ce4a0dfaf2,"Ethereum Up or Down - February 12, 8:15PM-8:30PM ET",ETHUSDT,5min,1770945845,1938.795,1941.2436,-2.4486,-0.126295,BN<CL,1.0,Up偏重,-0.1781
0xfb79e7dea0f13ee58f7b0c1cf36977d63598b10eb14fe7d4ddffb64e2b2d4e23,"Bitcoin Up or Down - February 12, 8:20PM-8:25PM ET",BTCUSDT,5min,1770945605,66238.355,66195.5745,42.7805,0.064586,BN>CL,0.3263,Up偏重,-0.0362
0x20fb56a0090f5b8cd99432d9c8dba52969e99a84ab9ecb788a6a6e587b3e9576,"Bitcoin Up or Down - February 12, 8PM ET",BTCUSDT,1hour,1770945611,66262.675,66195.5745,67.1005,0.101264,BN>CL,1.0,Up偏重,-0.0085
0xa829dd60bb243c19ef929980366672f0305ffed7d0c3feade77b293e3f482465,"Bitcoin Up or Down - February 12, 8:15PM-8:20PM ET",BTCUSDT,5min,1770945503,66228.365,66195.5745,32.7905,0.049511,BN>CL,-0.4478,Down偏重,0.3833
