conditionId,question,coin,window_type,window_start_ts,first_trade_ts,entry_delay_sec,direction_bias,bias_label,mom_1m_pct,mom_5m_pct,mom_15m_pct,bn_price_at_entry,buy_yes_cost,buy_no_cost
0x75419f59c419b98b5926881eb099c4aa55ca968cad5101db096e7176c44f2714,"Bitcoin Up or Down - February 12, 8:50PM-8:55PM ET",BTCUSDT,5min,1770947400.0,1770947407,7.0,0.1915,Up偏重,0.0,0.0,0.1062,66440.98,93.14,63.2
0x021a507688edbab1e3a0a0bd287ae29517b321f7d95fc88fae6a2427bb0604f0,"Bitcoin Up or Down - February 12, 8:45PM-8:50PM ET",BTCUSDT,5min,1770947100.0,1770947109,9.0,0.931,Up偏重,0.0,0.0,0.29,66440.98,653.7,23.36
0x9da508aaadbb5fcd3e573271a78d8f44305cbd8823542f260fc6a39373be990b,"Bitcoin Up or Down - February 12, 8:40PM-8:45PM ET",BTCUSDT,5min,1770946800.0,1770946811,11.0,0.9762,Up偏重,-0.0289,0.1062,0.4885,66440.98,588.83,7.09
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",SOLUSDT,1hour,,1770945575,,0.3427,Up偏重,-0.0382,0.8345,0.8345,78.55,71.11,34.81
0xefd17ef259c382a68886a469533885b38d93cf43c6105ee85fa05639aadcc192,"Bitcoin Up or Down - February 12, 8:35PM-8:40PM ET",BTCUSDT,5min,1770946500.0,1770946507,7.0,0.0131,均衡,0.0173,0.1485,0.1771,66370.49,202.75,197.52
0x94a5afdfee0373af75edc7be11c35aac2cd8ab6e5904d207f400690221dfebe4,"Ethereum Up or Down - February 12, 8:30PM-8:45PM ET",ETHUSDT,5min,1770946200.0,1770946209,9.0,0.1189,Up偏重,-0.069,0.1192,0.3553,1940.59,251.89,198.36
0x54322ca5cbc34b2c82521e1dfb32e96b80efc87ff793e3f86d2f78e1dc809394,"Bitcoin Up or Down - February 12, 8:30PM-8:45PM ET",BTCUSDT,5min,1770946200.0,1770946239,39.0,1.0,Up偏重,0.0837,0.2996,0.4858,66295.99,1316.29,0.0
0x28097b05aa1a30909e8c17ba5078f598b0b0d98158cf61c16eed1ea177537c2f,"Bitcoin Up or Down - February 12, 8:30PM-8:35PM ET",BTCUSDT,5min,1770946200.0,1770946205,5.0,0.7387,Up偏重,0.0694,0.2166,0.4327,66260.95,459.03,68.99
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",BTCUSDT,5min,1770945900.0,1770945905,5.0,-0.4252,Down偏重,-0.0544,-0.1821,0.2157,66117.76,222.05,550.53
0xf1b8d60c2a5045cc0d043bd8c1b54348ba71883704fefcde160ba4c23eba0e9f,"Bitcoin Up or Down - February 12, 8:15PM-8:30PM ET",BTCUSDT,5min,1770945300.0,1770945611,311.0,-0.3729,Down偏重,-0.0085,0.4353,0.4353,66262.67,249.94,547.2
0x399bf7e43a00c969e569e4ab51fb89586ad0eebaca310f3ad4e916ce4a0dfaf2,"Ethereum Up or Down - February 12, 8:15PM-8:30PM ET",ETHUSDT,5min,1770945300.0,1770945845,545.0,1.0,Up偏重,-0.1781,-0.2388,0.2627,1938.8,5.85,0.0
